occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023
        Automotive glass installers and repairers,49-3022,20.4,21.1,0.7,3.6,47260.0,High school diploma or equivalent,1.4,0.55,Automotive glass installers and repairers,Medium,49,Installation & Repair,1.0,0.0870494807574832,0.16666666666666666,0.12685807371207491,False,Growing,0.18,0.14
        Automotive service technicians and mechanics,49-3023,805.6,839.2,33.6,4.2,49670.0,Postsecondary nondegree award,70.0,0.59,Automotive service technicians and mechanics,Medium,49,Installation & Repair,,0.09931785787008754,0.16666666666666666,0.1329922622683771,False,Growing,0.18,0.14
      Bus and truck mechanics and diesel engine specialists,49-3031,319.9,327.7,7.8,2.4,60640.0,High school diploma or equivalent,26.5,0.73,Bus and truck mechanics and diesel engine specialists,High,49,Installation & Repair,1.0,0.15516188149053148,0.16666666666666666,0.16091427407859907,False,Growing,0.18,0.14
        Farm equipment mechanics and service technicians,49-3041,39.0,43.3,4.3,11.0,52080.0,High school diploma or equivalent,3.7,0.75,Farm equipment mechanics and service technicians,High,49,Installation & Repair,1.0,0.1115862349826919,0.16666666666666666,0.13912645082467928,False,Growing,0.17,0.19
"        Mobile heavy equipment mechanics, except engines",49-3042,188.7,199.6,10.9,5.8,63980.0,High school diploma or equivalent,16.5,0.4,"Mobile heavy equipment mechanics, except engines",Medium,49,Installation & Repair,1.0,0.17216452860924455,0.16666666666666666,0.1694155976379556,False,Growing,0.17,0.19
        Rail car repairers,49-3043,17.9,18.4,0.5,2.8,65680.0,High school diploma or equivalent,1.5,0.88,Rail car repairers,High,49,Installation & Repair,1.0,0.18081857055589493,0.16666666666666666,0.1737426186112808,False,Growing,0.17,0.19
        Motorboat mechanics and service technicians,49-3051,26.2,27.8,1.6,6.0,54950.0,High school diploma or equivalent,2.6,0.66,Motorboat mechanics and service technicians,Medium,49,Installation & Repair,1.0,0.12619629403380164,0.16666666666666666,0.14643148035023415,False,Growing,0.18,0.14
        Motorcycle mechanics,49-3052,14.9,15.7,0.8,5.3,47200.0,Postsecondary nondegree award,1.5,0.79,Motorcycle mechanics,High,49,Installation & Repair,,0.08674404398289554,0.16666666666666666,0.1267053553247811,False,Growing,0.18,0.14
        Outdoor power equipment and other small engine mechanics,49-3053,36.9,37.8,0.9,2.5,46560.0,High school diploma or equivalent,3.5,0.93,Outdoor power equipment and other small engine mechanics,High,49,Installation & Repair,1.0,0.08348605172062717,0.16666666666666666,0.1250763591936469,True,Growing,0.175,0.14
        Bicycle repairers,49-3091,13.2,12.9,-0.3,-2.3,40360.0,High school diploma or equivalent,1.6,0.94,Bicycle repairers,High,49,Installation & Repair,1.0,0.05192425167990225,0.16666666666666666,0.10929545917328445,True,Declining,0.13,0.09
        Recreational vehicle service technicians,49-3092,19.5,21.7,2.2,11.5,50540.0,High school diploma or equivalent,2.8,0.59,Recreational vehicle service technicians,Medium,49,Installation & Repair,1.0,0.10374669110160864,0.16666666666666666,0.13520667888413765,False,Growing,0.18,0.14
        Tire repairers and changers,49-3093,113.4,119.9,6.5,5.7,37120.0,High school diploma or equivalent,15.3,0.7,Tire repairers and changers,High,49,Installation & Repair,1.0,0.035430665852168614,0.16666666666666666,0.10104866625941764,True,Growing,0.18,0.14
        Mechanical door repairers,49-9011,28.4,31.7,3.2,11.4,51050.0,High school diploma or equivalent,2.7,0.91,Mechanical door repairers,High,49,Installation & Repair,1.0,0.10634290368560376,0.16666666666666666,0.1365047851761352,False,Growing,0.17,0.14
"        Control and valve installers and repairers, except mechanical door",49-9012,47.7,48.3,0.6,1.3,74690.0,High school diploma or equivalent,3.9,0.63,"Control and valve installers and repairers, except mechanical door",Medium,49,Installation & Repair,1.0,0.22668499287314195,0.16666666666666666,0.1966758297699043,False,Growing,0.17,0.14
"      Heating, air conditioning, and refrigeration mechanics and installers",49-9021,425.2,459.7,34.5,8.1,59810.0,Postsecondary nondegree award,40.1,0.65,"Heating, air conditioning, and refrigeration mechanics and installers",Medium,49,Installation & Repair,,0.15093667277540215,0.16666666666666666,0.1588016697210344,False,Growing,0.21,0.18
      Home appliance repairers,49-9031,37.3,38.3,1.0,2.6,49410.0,High school diploma or equivalent,3.1,0.72,Home appliance repairers,High,49,Installation & Repair,1.0,0.09799429851354105,0.16666666666666666,0.13233048259010385,False,Growing,0.17,0.14
        Industrial machinery mechanics,49-9041,439.6,510.3,70.7,16.1,63760.0,High school diploma or equivalent,45.7,0.67,Industrial machinery mechanics,Medium,49,Installation & Repair,1.0,0.1710445937690898,0.16666666666666666,0.16885563021787822,False,Growing,0.17,0.19
"        Maintenance workers, machinery",49-9043,57.5,55.9,-1.6,-2.8,60500.0,High school diploma or equivalent,4.8,0.86,"Maintenance workers, machinery",High,49,Installation & Repair,1.0,0.15444919568316026,0.16666666666666666,0.16055793117491346,False,Declining,0.17,0.19
        Millwrights,49-9044,41.3,41.3,0.0,0.0,65170.0,High school diploma or equivalent,3.6,0.59,Millwrights,Medium,49,Installation & Repair,1.0,0.1782223579718998,0.16666666666666666,0.17244451231928323,False,Stable,0.17,0.19
"        Refractory materials repairers, except brickmasons",49-9045,1.1,0.9,-0.2,-16.9,58540.0,High school diploma or equivalent,0.1,0.82,"Refractory materials repairers, except brickmasons",High,49,Installation & Repair,1.0,0.14447159437996335,0.16666666666666666,0.155569130523315,False,Declining,0.13,0.14500000000000002
        Electrical power-line installers and repairers,49-9051,127.4,135.8,8.4,6.6,92560.0,High school diploma or equivalent,10.7,0.097,Electrical power-line installers and repairers,Low,49,Installation & Repair,1.0,0.3176542455711667,0.16666666666666666,0.24216045611891668,False,Growing,0.15,0.14
        Telecommunications line installers and repairers,49-9052,99.9,96.8,-3.1,-3.1,70500.0,High school diploma or equivalent,8.9,0.49,Telecommunications line installers and repairers,Medium,49,Installation & Repair,1.0,0.20535532478110366,0.16666666666666666,0.18601099572388516,False,Declining,0.24,0.16
        Camera and photographic equipment repairers,49-9061,2.3,1.9,-0.3,-15.1,49300.0,High school diploma or equivalent,0.2,0.97,Camera and photographic equipment repairers,High,49,Installation & Repair,1.0,0.09743433109346364,0.16666666666666666,0.13205049888006515,False,Declining,0.21,0.18
        Medical equipment repairers,49-9062,68.0,76.8,8.8,12.9,62630.0,Associate's degree,7.3,0.27,Medical equipment repairers,Low,49,Installation & Repair,3.0,0.1652922011810222,0.5,0.3326461005905111,False,Growing,0.21,0.18
        Musical instrument repairers and tuners,49-9063,6.2,6.3,0.1,1.4,45320.0,High school diploma or equivalent,0.6,0.91,Musical instrument repairers and tuners,High,49,Installation & Repair,1.0,0.07717369171248217,0.16666666666666666,0.12192017918957442,True,Growing,0.14,0.1
        Watch and clock repairers,49-9064,1.4,1.4,0.0,-1.1,60690.0,High school diploma or equivalent,0.1,0.99,Watch repairers,High,49,Installation & Repair,1.0,0.15541641213602117,0.16666666666666666,0.1610415394013439,False,Declining,0.21,0.18
"      Maintenance and repair workers, general",49-9071,1629.7,1692.1,62.4,3.8,48620.0,High school diploma or equivalent,159.8,0.64,"Maintenance and repair workers, general",Medium,49,Installation & Repair,1.0,0.0939727143148035,0.16666666666666666,0.13031969049073508,False,Growing,0.11,0.09
"        Coin, vending, and amusement machine servicers and repairers",49-9091,32.5,31.6,-0.9,-2.9,47350.0,High school diploma or equivalent,3.5,0.94,"Coin, vending, and amusement machine servicers and repairers",High,49,Installation & Repair,1.0,0.0875076359193647,0.16666666666666666,0.12708715129301568,False,Declining,0.38,0.36
        Commercial divers,49-9092,4.2,4.5,0.4,8.5,61130.0,Postsecondary nondegree award,0.4,0.18,Commercial divers,Low,49,Installation & Repair,,0.1576562818163307,0.16666666666666666,0.16216147424149868,False,Growing,0.16,0.18
        Locksmiths and safe repairers,49-9094,18.8,17.2,-1.6,-8.3,50490.0,High school diploma or equivalent,1.7,0.77,Locksmiths and safe repairers,High,49,Installation & Repair,1.0,0.10349216045611889,0.16666666666666666,0.13507941356139277,False,Declining,0.2,0.21
        Manufactured building and mobile home installers,49-9095,3.1,3.3,0.2,5.9,41080.0,High school diploma or equivalent,0.3,0.18,Manufactured building and mobile home installers,Low,49,Installation & Repair,1.0,0.05558949297495419,0.16666666666666666,0.11112807982081042,False,Growing,0.09,0.08
        Riggers,49-9096,24.6,25.4,0.8,3.2,62060.0,High school diploma or equivalent,2.5,0.89,Riggers,High,49,Installation & Repair,1.0,0.16239055182243942,0.16666666666666666,0.16452860924455304,False,Growing,0.13,0.14
        Signal and track switch repairers,49-9097,8.7,8.8,0.1,1.7,83600.0,High school diploma or equivalent,0.8,0.9,Signal and track switch repairers,High,49,Installation & Repair,1.0,0.27204235389940945,0.16666666666666666,0.21935451028303804,False,Growing,0.17,0.14
"        Helpers--installation, maintenance, and repair workers",49-9098,98.7,101.0,2.2,2.3,38860.0,High school diploma or equivalent,11.8,0.79,"Helpers–installation, maintenance, and repair workers",High,49,Installation & Repair,1.0,0.04428833231521076,0.16666666666666666,0.10547749949093871,True,Growing,0.11,0.09
      First-line supervisors of production and operating workers,51-1011,698.6,706.9,8.3,1.2,71190.0,High school diploma or equivalent,67.7,0.016,First-line supervisors of production and operating workers,Low,51,Production,1.0,0.2088678476888617,0.16666666666666666,0.18776725717776419,False,Growing,0.3,0.3333333333333333
"      Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,33.6,28.7,-4.9,-14.5,61680.0,High school diploma or equivalent,2.8,0.79,"Aircraft structure, surfaces, rigging, and systems assemblers",High,51,Production,1.0,0.16045611891671754,0.16666666666666666,0.1635613927916921,False,Declining,0.27,0.31
"        Coil winders, tapers, and finishers",51-2021,12.2,11.5,-0.8,-6.3,47260.0,High school diploma or equivalent,1.2,0.73,"Coil winders, tapers, and finishers",High,51,Production,1.0,0.0870494807574832,0.16666666666666666,0.12685807371207491,False,Declining,0.28,0.36
      Engine and other machine assemblers,51-2031,38.4,30.3,-8.1,-21.1,52540.0,High school diploma or equivalent,2.8,0.82,Engine and other machine assemblers,High,51,Production,1.0,0.11392791692119733,0.16666666666666666,0.140297291793932,False,Declining,0.27,0.31
      Structural metal fabricators and fitters,51-2041,53.8,45.0,-8.8,-16.3,49900.0,High school diploma or equivalent,4.1,0.41,Structural metal fabricators and fitters,Medium,51,Production,1.0,0.10048869883934028,0.16666666666666666,0.13357768275300347,False,Declining,0.11,0.12
      Bakers,51-3011,249.1,263.2,14.0,5.6,36650.0,No formal educational credential,39.9,0.89,Bakers,High,51,Production,0.0,0.03303807778456527,0.0,0.016519038892282636,True,Growing,0.17,0.14
        Butchers and meat cutters,51-3021,143.1,144.5,1.4,1.0,38960.0,No formal educational credential,16.9,0.93,Butchers and meat cutters,High,51,Production,0.0,0.04479739360619017,0.0,0.022398696803095086,True,Growing,0.13,0.14
"        Meat, poultry, and fish cutters and trimmers",51-3022,146.8,154.9,8.1,5.5,37700.0,No formal educational credential,18.4,0.94,"Meat, poultry, and fish cutters and trimmers",High,51,Production,0.0,0.03838322133984931,0.0,0.019191610669924655,True,Growing,0.13,0.14
        Slaughterers and meat packers,51-3023,69.6,71.2,1.5,2.2,39790.0,No formal educational credential,8.4,0.6,Slaughterers and meat packers,Medium,51,Production,0.0,0.0490226023213195,0.0,0.02451130116065975,False,Growing,0.13,0.14
"        Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,20.7,20.8,0.1,0.6,42730.0,No formal educational credential,2.4,0.91,"Food and tobacco roasting, baking, and drying machine operators and tenders",High,51,Production,0.0,0.06398900427611484,0.0,0.03199450213805742,True,Growing,0.14,0.15000000000000002
        Food batchmakers,51-3092,173.5,185.4,11.9,6.9,40790.0,High school diploma or equivalent,24.2,0.7,Food batchmakers,High,51,Production,1.0,0.054113215231113815,0.16666666666666666,0.11038994094889024,True,Growing,0.185,0.16
        Food cooking machine operators and tenders,51-3093,29.7,29.9,0.2,0.6,40550.0,High school diploma or equivalent,4.4,0.61,Food cooking machine operators and tenders,Medium,51,Production,1.0,0.052891468132763186,0.16666666666666666,0.10977906739971492,False,Growing,0.15,0.13
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,66.0,66.8,0.8,1.2,46980.0,High school diploma or equivalent,6.5,0.91,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.0856241091427408,0.16666666666666666,0.12614538790470373,True,Growing,0.20333333333333334,0.20333333333333334
"        Forging machine setters, operators, and tenders, metal and plastic",51-4022,8.8,7.2,-1.7,-18.9,49240.0,High school diploma or equivalent,0.6,0.93,"Forging machine setters, operators, and tenders, Metal and Plastic",High,51,Production,1.0,0.09712889431887597,0.16666666666666666,0.13189778049277132,False,Declining,0.17333333333333334,0.17666666666666667
"        Rolling machine setters, operators, and tenders, metal and plastic",51-4023,22.5,20.6,-1.9,-8.3,48630.0,High school diploma or equivalent,1.9,0.83,"Rolling machine setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.09402362044390145,0.16666666666666666,0.13034514355528404,False,Declining,0.20333333333333334,0.20333333333333334
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,174.7,153.6,-21.1,-12.1,45590.0,High school diploma or equivalent,14.4,0.78,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.07854815719812666,0.16666666666666666,0.12260741193239666,True,Declining,0.175,0.185
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,5.3,4.3,-1.0,-19.6,46630.0,High school diploma or equivalent,0.4,0.94,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.08384239462431275,0.16666666666666666,0.1252545306454897,True,Declining,0.175,0.185
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,70.1,61.7,-8.4,-12.0,45190.0,High school diploma or equivalent,5.5,0.95,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.07651191203420893,0.16666666666666666,0.1215892893504378,True,Declining,0.175,0.185
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,18.9,16.4,-2.6,-13.6,48620.0,High school diploma or equivalent,1.5,0.84,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.0939727143148035,0.16666666666666666,0.13031969049073508,False,Declining,0.175,0.185
"        Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,13.8,11.8,-2.0,-14.4,48310.0,High school diploma or equivalent,1.1,0.98,"Milling and planing machine setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.09239462431276727,0.16666666666666666,0.12953064548971696,False,Declining,0.175,0.185
      Machinists,51-4041,299.5,299.6,0.0,0.0,56150.0,High school diploma or equivalent,29.5,0.65,Machinists,Medium,51,Production,1.0,0.13230502952555487,0.16666666666666666,0.14948584809611076,False,Stable,0.18,0.17
        Metal-refining furnace operators and tenders,51-4051,20.8,20.3,-0.5,-2.3,55770.0,High school diploma or equivalent,2.0,0.88,Metal-refining furnace operators and tenders,High,51,Production,1.0,0.13037059661983305,0.16666666666666666,0.14851863164324985,False,Declining,0.28500000000000003,0.32499999999999996
"        Pourers and casters, metal",51-4052,5.9,5.7,-0.3,-4.7,48940.0,High school diploma or equivalent,0.6,0.87,"Pourers and casters, metal",High,51,Production,1.0,0.09560171044593768,0.16666666666666666,0.13113418855630216,False,Declining,0.26,0.24
"        Model makers, metal and plastic",51-4061,3.2,2.6,-0.6,-18.2,62700.0,High school diploma or equivalent,0.3,0.93,"Model makers, metal and plastic",High,51,Production,1.0,0.16564854408470778,0.16666666666666666,0.16615760537568722,False,Declining,0.2,0.21
"        Patternmakers, metal and plastic",51-4062,1.6,1.2,-0.4,-24.4,54540.0,High school diploma or equivalent,0.1,0.9,"Patternmakers, metal and plastic",High,51,Production,1.0,0.12410914274078597,0.16666666666666666,0.1453879047037263,False,Declining,0.2,0.21
        Foundry mold and coremakers,51-4071,12.7,9.4,-3.3,-25.9,45700.0,High school diploma or equivalent,0.9,0.67,Foundry mold and coremakers,Medium,51,Production,1.0,0.07910812461820402,0.16666666666666666,0.12288739564243534,False,Declining,0.13,0.11
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,154.6,148.8,-5.8,-3.8,41230.0,High school diploma or equivalent,15.9,0.95,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.05635308491142332,0.16666666666666666,0.11150987578904499,True,Declining,0.15000000000000002,0.155
"      Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,131.0,130.3,-0.7,-0.5,46060.0,High school diploma or equivalent,12.8,0.91,"Multiple machine tool setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.08094074526573,0.16666666666666666,0.12380370596619833,True,Declining,0.18,0.17
      Tool and die makers,51-4111,55.2,49.3,-6.0,-10.8,63180.0,Postsecondary nondegree award,4.7,0.84,Tool and die makers,High,51,Production,,0.1680920382814091,0.16666666666666666,0.16737935247403787,False,Declining,0.2,0.21
"        Welders, cutters, solderers, and brazers",51-4121,457.3,467.2,9.9,2.2,51000.0,High school diploma or equivalent,45.6,0.94,"Welders, cutters, solderers, and brazers",High,51,Production,1.0,0.10608837304011401,0.16666666666666666,0.13637751985339033,False,Growing,0.13,0.11
"        Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,38.9,35.4,-3.5,-9.0,47060.0,High school diploma or equivalent,3.2,0.61,"Welding, soldering, and brazing machine setters, operators, and tenders",Medium,51,Production,1.0,0.08603135817552432,0.16666666666666666,0.12634901242109547,False,Declining,0.13,0.11
"        Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,14.8,12.9,-1.9,-12.8,47450.0,High school diploma or equivalent,1.2,0.91,"Heat treating equipment setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.08801669721034414,0.16666666666666666,0.1273416819385054,False,Declining,0.21500000000000002,0.22
"        Layout workers, metal and plastic",51-4192,5.7,5.4,-0.3,-5.4,61870.0,High school diploma or equivalent,0.5,0.84,"Layout workers, metal and plastic",High,51,Production,1.0,0.1614233353695785,0.16666666666666666,0.16404500101812258,False,Declining,0.20500000000000002,0.21
"        Plating machine setters, operators, and tenders, metal and plastic",51-4193,31.7,27.4,-4.3,-13.6,41600.0,High school diploma or equivalent,2.5,0.92,"Plating and coating machine setters, operators, and tenders, metal and plastic",High,51,Production,1.0,0.05823661168804725,0.16666666666666666,0.11245163917735695,True,Declining,0.185,0.195
"        Tool grinders, filers, and sharpeners",51-4194,5.8,5.4,-0.5,-7.8,48970.0,High school diploma or equivalent,0.5,0.88,"Tool grinders, filers, and sharpeners",High,51,Production,1.0,0.09575442883323151,0.16666666666666666,0.13121054774994909,False,Declining,0.17,0.16
      Prepress technicians and workers,51-5111,26.2,22.3,-3.8,-14.6,47300.0,Postsecondary nondegree award,2.8,0.97,Prepress technicians and workers,High,51,Production,,0.08725310527387498,0.16666666666666666,0.1269598859702708,False,Declining,0.38,0.26
      Printing press operators,51-5112,150.2,138.0,-12.2,-8.1,45160.0,High school diploma or equivalent,13.7,0.83,Printing press operators,High,51,Production,1.0,0.0763591936469151,0.16666666666666666,0.12151293015679088,True,Declining,0.25,0.22
      Print binding and finishing workers,51-5113,35.8,30.0,-5.8,-16.1,39820.0,High school diploma or equivalent,2.8,0.95,Print binding and finishing workers,High,51,Production,1.0,0.04917532070861333,0.16666666666666666,0.10792099368764,True,Declining,0.22,0.17
      Laundry and dry-cleaning workers,51-6011,202.6,213.5,10.9,5.4,33800.0,No formal educational credential,31.9,0.71,Laundry and dry-cleaning workers,High,51,Production,0.0,0.018529830991651397,0.0,0.009264915495825699,True,Growing,0.16,0.12
"      Pressers, textile, garment, and related materials",51-6021,28.4,24.6,-3.8,-13.5,33880.0,No formal educational credential,2.8,0.81,"Pressers, textile, garment, and related materials",High,51,Production,0.0,0.01893708002443495,0.0,0.009468540012217475,True,Declining,0.14,0.11
      Sewing machine operators,51-6031,124.0,110.7,-13.3,-10.8,36000.0,No formal educational credential,13.0,0.89,Sewing machine operators,High,51,Production,0.0,0.02972917939319894,0.0,0.01486458969659947,True,Declining,0.15,0.15
        Shoe and leather workers and repairers,51-6041,9.5,9.1,-0.4,-3.8,35950.0,High school diploma or equivalent,0.9,0.52,Shoe and leather workers and repairers,Medium,51,Production,1.0,0.02947464874770922,0.16666666666666666,0.09807065770718794,False,Declining,0.14,0.12333333333333334
        Shoe machine operators and tenders,51-6042,4.1,3.9,-0.2,-3.7,38160.0,High school diploma or equivalent,0.4,0.97,Shoe machine operators and tenders,High,51,Production,1.0,0.04072490327835471,0.16666666666666666,0.10369578497251068,True,Declining,0.16,0.13
"        Sewers, hand",51-6051,5.4,5.0,-0.4,-7.0,33760.0,No formal educational credential,0.7,0.99,"Sewers, hand",High,51,Production,0.0,0.01832620647525962,0.0,0.00916310323762981,True,Declining,0.12,0.12
"        Tailors, dressmakers, and custom sewers",51-6052,38.8,37.1,-1.7,-4.5,40860.0,No formal educational credential,5.0,0.84,"Tailors, dressmakers, and custom sewers",High,51,Production,0.0,0.05446955813479942,0.0,0.02723477906739971,True,Declining,0.15,0.13
        Textile bleaching and dyeing machine operators and tenders,51-6061,6.2,5.5,-0.6,-10.1,37320.0,High school diploma or equivalent,0.7,0.97,Textile bleaching and dyeing machine operators and tenders,High,51,Production,1.0,0.036448788434127466,0.16666666666666666,0.10155772755039706,True,Declining,0.21,0.22
"        Textile cutting machine setters, operators, and tenders",51-6062,9.3,8.2,-1.1,-11.7,37940.0,High school diploma or equivalent,1.0,0.95,"Textile cutting machine setters, operators, and tenders",High,51,Production,1.0,0.03960496843819997,0.16666666666666666,0.10313581755243331,True,Declining,0.17,0.28
"        Textile knitting and weaving machine setters, operators, and tenders",51-6063,15.3,13.6,-1.7,-11.2,38260.0,High school diploma or equivalent,1.7,0.73,"Textile knitting and weaving machine setters, operators, and tenders",High,51,Production,1.0,0.04123396456933415,0.16666666666666666,0.1039503156180004,True,Declining,0.16,0.15
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,21.7,19.8,-1.9,-9.0,37660.0,High school diploma or equivalent,2.5,0.96,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",High,51,Production,1.0,0.038179596823457534,0.16666666666666666,0.1024231317450621,True,Declining,0.15,0.12
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,15.2,15.0,-0.2,-1.1,44980.0,High school diploma or equivalent,2.0,0.88,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",High,51,Production,1.0,0.0754428833231521,0.16666666666666666,0.12105477499490938,True,Declining,0.17,0.14
        Fabric and apparel patternmakers,51-6092,2.8,2.5,-0.3,-10.2,67670.0,High school diploma or equivalent,0.3,0.0049,Fabric and apparel patternmakers,Low,51,Production,1.0,0.19094889024638564,0.16666666666666666,0.17880777845652615,False,Declining,0.17,0.28
        Upholsterers,51-6093,22.7,22.3,-0.4,-1.8,46190.0,High school diploma or equivalent,2.2,0.39,Upholsterers,Medium,51,Production,1.0,0.08160252494400325,0.16666666666666666,0.12413459580533495,False,Declining,0.18,0.16
      Cabinetmakers and bench carpenters,51-7011,86.0,84.7,-1.4,-1.6,46020.0,High school diploma or equivalent,8.1,0.92,Cabinetmakers and bench carpenters,High,51,Production,1.0,0.08073712074933823,0.16666666666666666,0.12370189370800244,True,Declining,0.16,0.14
      Furniture finishers,51-7021,20.5,19.8,-0.7,-3.3,42530.0,High school diploma or equivalent,2.0,0.87,Furniture Finishers,High,51,Production,1.0,0.06297088169415599,0.16666666666666666,0.11481877418041132,True,Declining,0.16,0.14
"        Model makers, wood",51-7031,0.9,0.9,0.0,-4.5,51850.0,High school diploma or equivalent,0.1,0.96,"Model makers, wood",High,51,Production,1.0,0.11041539401343922,0.16666666666666666,0.13854103034005294,False,Declining,0.16,0.14
"        Patternmakers, wood",51-7032,0.5,0.4,0.0,-5.0,52520.0,High school diploma or equivalent,0.0,0.91,"Patternmakers, wood",High,51,Production,1.0,0.11382610466300144,0.16666666666666666,0.14024638566483405,False,Declining,0.16,0.14
"        Sawing machine setters, operators, and tenders, wood",51-7041,45.0,44.7,-0.3,-0.6,39950.0,High school diploma or equivalent,4.8,0.86,"Sawing machine setters, operators, and tenders, wood",High,51,Production,1.0,0.049837100386886574,0.16666666666666666,0.10825188352677662,True,Declining,0.14,0.18
"        Woodworking machine setters, operators, and tenders, except sawing",51-7042,63.1,61.9,-1.1,-1.8,40440.0,High school diploma or equivalent,6.4,0.97,"Woodworking machine setters, operators, and tenders, except sawing",High,51,Production,1.0,0.0523315007126858,0.16666666666666666,0.10949908368967623,True,Declining,0.22,0.14
        Nuclear power reactor operators,51-8011,5.7,4.9,-0.9,-15.3,122610.0,High school diploma or equivalent,0.4,0.95,Nuclear power reactor operators,High,51,Production,1.0,0.4706271635104867,0.16666666666666666,0.3186469150885767,False,Declining,0.28,0.34
        Power distributors and dispatchers,51-8012,9.3,9.0,-0.3,-3.2,107240.0,High school diploma or equivalent,0.8,0.64,Power distributors and dispatchers,Medium,51,Production,1.0,0.39238444308694764,0.16666666666666666,0.27952555487680714,False,Declining,0.28,0.34
        Power plant operators,51-8013,31.6,28.0,-3.5,-11.2,99670.0,High school diploma or equivalent,2.5,0.85,Power plant operators,High,51,Production,1.0,0.35384850335980456,0.16666666666666666,0.2602575850132356,False,Declining,0.28,0.34
      Stationary engineers and boiler operators,51-8021,33.3,34.0,0.7,2.2,75190.0,High school diploma or equivalent,3.8,0.89,Stationary engineers and boiler operators,High,51,Production,1.0,0.2292302993280391,0.16666666666666666,0.19794848299735288,False,Growing,0.2,0.23
      Water and wastewater treatment plant and system operators,51-8031,132.4,123.8,-8.7,-6.5,58260.0,High school diploma or equivalent,10.7,0.61,Water and wastewater treatment plant and system operators,Medium,51,Production,1.0,0.14304622276522092,0.16666666666666666,0.1548564447159438,False,Declining,0.27,0.31
        Chemical plant and system operators,51-8091,18.1,17.0,-1.1,-6.1,73540.0,High school diploma or equivalent,1.6,0.85,Chemical plant and system operators,High,51,Production,1.0,0.22083078802687842,0.16666666666666666,0.19374872734677254,False,Declining,0.29,0.37
        Gas plant operators,51-8092,16.2,14.8,-1.4,-8.8,83400.0,High school diploma or equivalent,1.3,0.78,Gas plant operators,High,51,Production,1.0,0.27102423131745057,0.16666666666666666,0.2188454489920586,False,Declining,0.29,0.3
"        Petroleum pump system operators, refinery operators, and gaugers",51-8093,34.9,34.0,-1.0,-2.8,97540.0,High school diploma or equivalent,3.2,0.71,"Petroleum pump system operators, refinery operators, and gaugers",High,51,Production,1.0,0.34300549786194257,0.16666666666666666,0.2548360822643046,False,Declining,0.29,0.3
"        Plant and system operators, all other",51-8099,16.3,16.6,0.3,1.6,61710.0,High school diploma or equivalent,1.6,0.86,"Plant and system operators, all other",High,51,Production,1.0,0.1606088373040114,0.16666666666666666,0.16363775198533903,False,Growing,0.25,0.265
        Chemical equipment operators and tenders,51-9011,128.9,133.1,4.3,3.3,57090.0,High school diploma or equivalent,14.4,0.76,Chemical equipment operators and tenders,High,51,Production,1.0,0.13709020566076155,0.16666666666666666,0.1518784361637141,False,Growing,0.24,0.25
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,54.4,52.0,-2.3,-4.3,49500.0,High school diploma or equivalent,5.4,0.88,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",High,51,Production,1.0,0.09845245367542252,0.16666666666666666,0.1325595601710446,False,Declining,0.22999999999999998,0.20500000000000002
